APW,,"Alpha Three Aviation, Inc. - United States of America",Triple Ace
APX,,Naljets Limited - United Kingdom,Apex
APZ,YP,"Air Premia Inc. - Korea, Republic of",Air Premia
AQA,,"Aeroatlas, S.A. - Colombia",ATCO
AQB,,Aqualata Air S.L. (Aqua Air) - Spain,Aquair
AQC,,"Alquiladora de Casas, S.A. de C.V. - Mexico",Alquiladora
AQL,,Altair Airlines - Kazakhstan,Altacargo
AQO,,"Aluminum Company Of America, Alcoa Aircraft Operations - United States of America",Alcoa Shuttle
AQS,,Airstream a.s. - Czech Republic,Airstream
AQT,,"Aviones de Renta de Quintana Roo, S.A. de C.V. - Mexico",Avioquintana
ARA,W3,Arik Air - Nigeria,Arik Air
ARB,,"AirBahn, Inc. - United States of America",Airbahn
ARE,4C,Aerovias de Integration Regional d/b/a LATAM Airlines Colombia - Colombia,LAN Colombia
ARF,,Animal Rescue Flights - United States of America,Animal Flights
ARG,AR,Aerolineas Argentinas - Argentina,Argentina
ARH,,"Aerohelicopteros, C.A. - Venezuela",Aerohelca
ARI,,"Aero Vics, S.A. de C.V. - Mexico",Aerovics
ARJ,,"Aerojet de Costa Rica, S.A. - Costa Rica",
ARK,,Aero Link Air Services S.L. - Spain,Link Service
ARL,,Airlec air Espace - France,Airlec
ARM,,"Megaviation Srl - Moldova, Republic of",Sunsky
ARN,RN*,Aeronexus Corporate Pty Ltd - South Africa,Aeronex
ARO,,Arrow Aviation Ltd. - Canada,Arrow
ARP,,RPA-Aviataxi Ltd. - Russian Federation,
ARQ,,Airco Aircraft Charters Ltd. - Canada,Airco
ARR,,"Avalair Aircraft Management, LLC - United States of America",Avalair
ARS,,"Aeronaves Hafe, S.A. de C.V. - Mexico",Hafe
ARU,AG,Arubaanse Luchtvaart Maatschappij N.V dba Aruba Airlines - Aruba,Aruba
ARV,,Aravco Ltd. - United Kingdom,Aravco
ARW,,Aria - France,Ariabird
ARX,,"Air Xpress, Inc. - United States of America",Airex
ARY,,ATC CJSC - Armenia,Yeraz
ARZ,,"Airborne Imaging, Inc. - United States of America",Airborne
ASA,AS,"Alaska Airlines, Inc. - United States of America",Alaska
ASB,,Air-Spray 1967 Ltd. - Canada,Air Spray
ASC,,Alas del Sur - Boliva,
ASD,,Egypt Air Holding Company d/b/a Air Sphinx - Egypt,Air Sphinx
ASE,,"Servicios de Aviacion Asertec, S.A. de C.V. - Mexico",Asertec
ASF,,Austrian Air Force - Austria,Austrian Airforce
ASG,,Air Speed Charter (Pvt) Ltd - Pakistan,
ASH,YV,"Mesa Airlines, Inc. - United States of America",Air Shuttle
